GAME_ID,TEAM_ID,SEASON,GAME_DATE_EST,AST,BLK,DREB,FG3A,FG3_PCT,FGA,FG_PCT,FTA,FT_PCT,OREB,PF,STL,TO,PTS
22300763,1610612737,2023,2024-02-12,26.120689655172413,4.379310344827586,32.1551724137931,38.0,0.8071213339940103,92.94827586206897,0.36175354501494184,24.913793103448278,0.46710741479811674,12.706896551724139,18.79310344827586,7.982758620689655,13.39655172413793,120.46551724137932
22300759,1610612738,2023,2024-02-11,25.859649122807017,6.4035087719298245,36.6140350877193,43.03508771929825,0.8073489755855868,90.64912280701755,0.37607464666858686,21.94736842105263,0.4773662668875016,11.052631578947368,17.31578947368421,6.7894736842105265,12.298245614035087,120.28070175438596
22300762,1610612739,2023,2024-02-12,27.09259259259259,4.796296296296297,34.48148148148148,37.351851851851855,0.7768362783523187,88.61111111111111,0.36031433536529756,20.5,0.4810293219032502,10.481481481481481,18.833333333333332,7.814814814814815,13.203703703703704,114.37037037037037
22300766,1610612740,2023,2024-02-12,26.859649122807017,4.824561403508772,33.1578947368421,32.175438596491226,0.7564491252374088,87.85964912280701,0.37052569502921345,23.842105263157894,0.4855741414175101,11.017543859649123,19.157894736842106,8.421052631578947,13.157894736842104,115.3859649122807
22300763,1610612741,2023,2024-02-12,24.517241379310345,5.189655172413793,32.05172413793103,32.741379310344826,0.7947320732635309,89.72413793103448,0.3579537707255607,20.74137931034483,0.4644298015726804,11.5,19.396551724137932,7.982758620689655,12.206896551724139,111.24137931034483
22300768,1610612742,2023,2024-02-12,25.339285714285715,4.410714285714286,32.160714285714285,40.767857142857146,0.7524704007628354,89.75,0.37181801039217316,23.678571428571427,0.4739987055865725,9.892857142857142,18.964285714285715,6.732142857142857,12.053571428571429,117.98214285714286
22300767,1610612743,2023,2024-02-12,28.724137931034484,5.431034482758621,32.793103448275865,31.775862068965516,0.7540892003548684,88.46551724137932,0.3685091307893243,20.844827586206897,0.4925279494632787,10.89655172413793,18.775862068965516,7.017241379310345,12.03448275862069,114.39655172413794
22300769,1610612744,2023,2024-02-12,28.436363636363637,4.181818181818182,34.654545454545456,39.38181818181818,0.786643738087697,91.12727272727273,0.3775671826657389,22.490909090909092,0.4750239503854423,12.2,20.70909090909091,6.781818181818182,14.309090909090909,118.87272727272727
22300765,1610612745,2023,2024-02-12,24.92982456140351,4.456140350877193,35.175438596491226,34.228070175438596,0.7751811479184045,89.91228070175438,0.3479395671974607,23.964912280701753,0.46076805611488586,10.894736842105264,21.63157894736842,7.894736842105263,12.75438596491228,113.26315789473684
22300770,1610612746,2023,2024-02-12,25.763636363636362,5.4,33.0,32.981818181818184,0.8166852771985705,87.32727272727273,0.3890710779790278,22.963636363636365,0.49111144516824445,10.290909090909091,19.418181818181818,8.2,12.290909090909091,117.14545454545454
22300747,1610612747,2023,2024-02-09,27.716666666666665,5.85,34.766666666666666,30.866666666666667,0.7624010676503196,87.35,0.3589355683902799,24.716666666666665,0.48877497157713584,8.35,16.916666666666668,8.066666666666666,13.916666666666666,115.36666666666666
22300759,1610612748,2023,2024-02-11,25.789473684210527,3.280701754385965,32.85964912280702,33.43859649122807,0.8197124291054161,85.96491228070175,0.36923319986494074,22.92982456140351,0.462136723373155,9.736842105263158,18.75438596491228,7.245614035087719,12.771929824561404,110.54385964912281
22300750,1610612751,2023,2024-02-10,26.62962962962963,5.518518518518518,33.148148148148145,37.74074074074074,0.7680782885052084,90.88888888888889,0.3711970423674621,21.64814814814815,0.4605015161938854,11.75925925925926,19.11111111111111,6.925925925925926,12.25925925925926,113.96296296296296
22300765,1610612752,2023,2024-02-12,23.82456140350877,3.8947368421052633,33.228070175438596,35.719298245614034,0.7895999058319588,89.01754385964912,0.3675516680294914,23.49122807017544,0.4679908312147214,12.456140350877194,18.087719298245613,7.473684210526316,12.456140350877194,114.66666666666667
22300752,1610612753,2023,2024-02-10,24.98181818181818,5.4,31.98181818181818,31.727272727272727,0.7508358416400475,86.32727272727273,0.34602483113036325,25.745454545454546,0.46941591964236923,10.89090909090909,21.054545454545455,8.4,13.836363636363636,111.30909090909091
22300761,1610612754,2023,2024-02-12,30.71186440677966,6.016949152542373,31.0,36.45762711864407,0.77955345452515,92.38983050847457,0.3728389638001167,21.610169491525422,0.5026517907007756,10.186440677966102,22.440677966101696,7.762711864406779,13.271186440677965,123.01694915254237
22300762,1610612755,2023,2024-02-12,24.910714285714285,5.928571428571429,31.964285714285715,32.30357142857143,0.8242565781471392,89.94642857142857,0.357424317336591,26.321428571428573,0.47234206476267787,11.285714285714286,20.946428571428573,9.053571428571429,11.464285714285714,118.16071428571429
22300757,1610612756,2023,2024-02-10,26.719298245614034,5.859649122807017,33.3859649122807,31.473684210526315,0.8040235996534865,85.80701754385964,0.3773846576755473,25.280701754385966,0.49900021083526774,9.982456140350877,18.859649122807017,7.5964912280701755,14.333333333333334,117.70175438596492
22300760,1610612758,2023,2024-02-11,28.732142857142858,4.053571428571429,32.875,40.67857142857143,0.7278829291453414,91.07142857142857,0.36678722731993346,21.767857142857142,0.47790037411056974,10.125,20.285714285714285,7.321428571428571,12.910714285714286,117.85714285714286
22300764,1610612759,2023,2024-02-12,29.20689655172414,6.068965517241379,33.12068965517241,36.44827586206897,0.7684829473917901,90.93103448275862,0.34327806920526704,20.70689655172414,0.46039267299870024,10.241379310344827,18.224137931034484,7.413793103448276,14.448275862068966,112.13793103448276
22300764,1610612761,2023,2024-02-12,29.214285714285715,5.0,32.44642857142857,32.857142857142854,0.7456952141232331,89.21428571428571,0.3568420799363027,22.875,0.4784492325448993,11.214285714285714,18.696428571428573,7.678571428571429,13.178571428571429,114.125
22300769,1610612762,2023,2024-02-12,28.263157894736842,5.9298245614035086,34.01754385964912,36.771929824561404,0.8132068704863326,90.3859649122807,0.35605328029198446,23.649122807017545,0.47215561015023805,12.75438596491228,19.19298245614035,6.7368421052631575,15.280701754385966,117.43859649122807
22300766,1610612763,2023,2024-02-12,25.344827586206897,6.258620689655173,32.05172413793103,39.89655172413793,0.7588337076045941,88.84482758620689,0.3455560087236772,20.74137931034483,0.43986100480976553,10.017241379310345,19.79310344827586,7.827586206896552,14.051724137931034,107.79310344827586
22300768,1610612764,2023,2024-02-12,27.8,5.509090909090909,31.70909090909091,34.81818181818182,0.7693493076015765,91.12727272727273,0.34825296771752184,21.163636363636364,0.4721527655929049,9.072727272727272,20.072727272727274,7.927272727272728,13.345454545454546,114.45454545454545
22300749,1610612765,2023,2024-02-10,26.545454545454547,5.036363636363636,32.763636363636365,31.363636363636363,0.7767479376685519,88.92727272727272,0.3635493050073968,22.927272727272726,0.47593817653035403,11.054545454545455,22.145454545454545,5.872727272727273,15.10909090909091,113.7090909090909
22300761,1610612766,2023,2024-02-12,24.625,4.875,31.482142857142858,33.035714285714285,0.7831871656434836,88.96428571428571,0.3514004092348714,19.553571428571427,0.45684643973497463,10.303571428571429,19.125,6.732142857142857,13.410714285714286,108.05357142857143
